Text,Sentiment
I AM SO SORRY FUCKING ERIC THINKS HES FUNNY :),1
ksoo makes me so emo :((((((((((((((((((((((((((((((((,-1
"The saddest thing is when you are feeling real down,you look around and realize that there is no shoulder for you….! :(",-1
Hi happys!!:) http://t.co/AGiLlxJdbi,1
OH MY GAAAWD :( https://t.co/ZAd3jg0jzF,-1
"Bring your graphic design and web design skills to the next level :)
Learn more:... http://t.co/2HIE5tcv2P",1
"I have Ariana grande Selena Gomez Louis tomlinson Rita  Liam Payne 
Caradelevingne 🌷I trade solo dm :)",1
@zoyaashk true that :),1
1000% battery life please :(,-1
"@bobble bobble is leaking &amp; it was a gift I have no idea where to return it, its the thermos model :-(",-1
zzzz missed my stop :(,-1
nvm lemme be quiet and eat my foof!:(,-1
@IndietracksFest @mr_omnibus I thought he was too!  :-(,-1
@chelsea_acker WHOOP WHOOP! :-) #quacketyquack http://t.co/Or9w6eqCiM,1
Paper towns please :-(,-1
I wonder if when I dropped my phone last time it damaged my WiFi cause I can't enable anymore and I have the otter protection case too :(,-1
"Twitter meni tebrik etdi :))
Congratulations, you have over 700 followers",1
@vinrana1986 hii vin plss rply my tweet :((,-1
I wanna watch a movie :(,-1
Trying out some face paint for our show #MuertosAtFringe :) http://t.co/tsgn8eW0As,1
Witnessed ! #family #trip to #goa :( https://t.co/u13lmgymTH,-1
"ACHI!!!! Im busy next week because of our exams. Hope you understand that I cant tweet youuu, Bawi ako queenesther! :) @esthercarodan",1
.@aylesburyowl @ljam185 The facade of democracy has dropped so quickly :(,-1
i was so anxious i was shaking and my dad was like calm down and then well apparently only 10:30 right :),1
@Riverford The plan is: read our brand new cook book and figure out what to make for dinner tonight! :),1
oh my gosh traffic :(( I'm hungrrrryyy!!,-1
@CoreyHenson15 Follow me :(,-1
Agh @UPCIreland keeps cutting out in the middle of #undercoverboss :-(,-1
@flirtyoakley same i hate hot weather :( its my graduation ceremony later and all the boys are gonna wear suits everyones going to die,-1
@isakigoboom Payback for liking your videos and trying to help you get kit kats? :(,-1
"@CathsStrawberry I thought your work was  seasonal, you will have really busy days. Ok so deal for weekends and in your toilet breaks :p",1
Finally went to the drive in tonight :-),1
@ysmael85 hello !!! i need 2.5 off g2a code pls :(,-1
@PrinceOfRnbZJM Can you follow me ? :(,-1
@Sukihaikal hahaha okay thank you :),1
I think I need to go to bed kind of exhausted good night twitter :),1
"""@zaynmalik just had a dinner with my love @Real_Liam_Payne love you babe ! :) x""",1
"@Ms_chic I know :), you're hot always",1
"@jasonbarnard86 @stefgingerball I asked my boss for a raise once, he handed me a ladder and told me to climb the ladder to success. :-(",-1
@MusicAddictTBH wow! Nice combination :),1
"""@Manuellatchgn: Goodbye twitter. I will not be there for a long time. :)"" Goodbye Manuella",1
"@cloudljp THERE WERE A LOT OF WRITINGS OF THE BOYS IN MY SECTION WHDJWKSJA IDK THAT ZIAM WRITING STILL FUCKS ME UP

i go to a 100k school :(",-1
@dongvvoo1122 😀🔫 r u sure u want that b r u h we barely survive w them in tank tops :((,-1
Here's a life lesson you can teach your kids this weekend :) http://t.co/xdkILWu46Y,1
"@Susansuzt @SimonBedford Ta, same to you both :)",1
Isn't this place so peaceful and relaxing..:) http://t.co/LfC9t3SGPX #retweet,1
Good morning :),1
@DrewJPS accepted. :),1
Please follow me back @1DThisIsUs @onedirection :) x *10,1
@imdanielpadilla hi!!!!!! love u :( :(,-1
We at Glasgow Netball wish the @NetballScotland #thistles all the best in their @netballworldcup  journey!! Good luck girls :-) #thistlelove,1
"@macauleyBoath Hi Macauley, Mexico sounds lovely :-) We don't have any plans to add new countries at the moment, however we're...",1
@chaebe71 Oh great :),1
I don’t care that I have to force myself to exercise even when my body is screaming with pain :),1
@BhaktisBanter @PallaviRuhail yeah! This is fun :) #FlipkartFashionFriday,1
school starts pretty soon :(,-1
@mariammaslouhi If it HAD been two ~17 year olds deeply in love? :-))),1
@TheStonePilot sorry :(,-1
@ItzBabyAlexa :((( love ya 2 😭💖,-1
"@jjulieredburn Perfect, so you already know what's waiting for you :)",1
wish that my grams lived nearer to me :(( I'm going to travel just so that i can see her.,-1
"@HitItRichSlots Or @TheSimpsons one would be awesome as well, either or even both :D",1
@hitgal_hashmi me also good.. But why are u not present here?? Have not seen u long time :(,-1
I've been such a shit bestfriend.:(,-1
@qureshi_ruksar thankssss.     :(,-1
"@LANISeanDon my brothers do that, I gets pissed off :(",-1
"@neut_ Yes! Of course. It's lovely, and I talked to them about volunteering there, and maybe even in time getting a job. :)",1
Did badly in the second semester :-(,-1
@ashak21 dudeeeeeee I'm so happy you like them :))))) tell me which are your favorites,1
The Tombow ABT has arrived :) https://t.co/LD6CXQyKwI,1
Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/a8T615ezFa.,1
@voxcinemas I want the minion bucket please :( it wasn't there yesterday! :(,-1
@JayMcGuiness nooo stay in UK IM HERE :(,-1
@Jon_Clifton78 awesome :),1
Rain rain go away :(,-1
I can't sleep now what the heck :(,-1
"@Cryspp_ Hi! I see u like FourFiveSeconds and think u might like ""Deaf Ears"" https://t.co/T0SBDozPFj .Plz let me know what u think :)",1
@Sibulela_M only white things I have ngeze turn up :( for all white parties I've been to. Have nothing cocktaily and classy 😭😭😭 so stressed.,-1
@UnMondeHistoire chalut :),1
@Blade4hire Goodnight and sweet dreams. :-),1
@AnnieAppelle and @nutriculum is this today but you're not here :(  #anywayhedidanicejob,-1
My #TeenChoice for #ChoiceInternationalArtist is #SuperJunior! :),1
@AdaptsTheGod but duo we both dropped double digits :( TWICE,-1
Could you please te the members to auto-followback me ? :( thanks @Junjou_RP,-1
@Abby_Lee_Miller Abby can you please try help me get my mum to come see you with me in London!:(,-1
Who even started this trend? I wanna know if there is a jot of truth :( #ZaynIsComingBackOnJuly26,-1
@_cigarella :( ion wanna hear that,-1
@nighteyeslrh and idk what to do bc we have no money if we leave :-(,-1
@ARGA_naut frudging cant chill :(:(:(:(,-1
Sometimes you need to have sweet breakfast :) banana pancakes and raspberry sauce #healthylifestyle https://t.co/w2UgX4VEUz,1
"@khalidALSALEM @Azizsm_ we did our best, as you want body :)",1
"go zumba somewhere else please, me studying :(",-1
@WeeklyChris  Hello! ... :(,-1
What the hell is going wrong :( I don't understand why people choose to hurt each other https://t.co/hIBjz4fC2r,-1
@DatKidScotty check her youtube link you might like it. @jallossery another person trying to live the dream :),1
@bastiani_matteo @sophiescott do you have a link? I missed HBM :(,-1
"@AnnoGalactic :( :( I know it's how it goes, but still....",-1
@clairyworld4  EN MIS MANOS. holding it in my hands :),1
@Anna_Colom @UCLGlobalHealth @bbcmediaaction thanks for this. We'll get this added to our student and researchers job board :),1
the emoji :((( https://t.co/BFslmBZOAh,-1
@Osphate I just started using mine a few weeks ago :) After a long break.,1
"@stokebrisbane Hi! Saw who u follow and thought u might like ""Dark"" https://t.co/CFl0s5hwWw .Plz let us know what u think :)",1
someone talk to me :)),1
@98_madhvi_tommo  it apparently isnt :(,-1
Cousins are for life :)❤💜💘💋 #vsco #vscocam #vscoph #vscogood #vscophil #vscocousins #love… https://t.co/JwNwLUp583,1
@chuchuxiu shit rlly?:( i heard hamsters eat each other thats pretty fucked up hamsters r weird,-1
@NotThatBobJames Hahaha Go Doug! :-),1
@seungwannabe take care of urself :((((,-1
i was so hyper today :((,-1
Leaving for the airport soon :( don't wanna go home.,-1
@Blahkumaran woah! nice nice!! :-),1
The struggle in finding the perfect glasses for a small structured face is real :-(,-1
GUYS add my KIK - therver85552 #kik #hornykik #bestoftheday #girls #wife #premiostumundo #oralsex :) http://t.co/bgO0CgYWzj,1
Off to somewhere later :))),1
@sugarymgc i miss you :(,-1
crying again for the nth time today :( kinda tired tho hay what am I gonna do with my life,-1
Add me :))))) http://t.co/8XAFR7meiO,1
Photoset: sadomasochistsparadise: Wynter bottoms- and an outtake :) Sadomasochist’s Paradise Cuties http://t.co/GNW1lwjFK1,1
some of the best spectator sailing UK this w'end but BBC just showing highlights :( ‘flying’ foiling AC45 catamarans http://t.co/p4n34Djjuw,-1
"@alkapranos like pharma, sugar....almost immovable :(",-1
i miss being a kid. i can't believe I'm doing adult stuff like paying rent and bills and doing a degree and shit like . the fuck??!?:(,-1
@PinkPeoniesBlog @helloprettysa Market on Main just launched in Pretoria. :),1
when will rosie and hayoung shut up :(,-1
@nicagaray thanks!!! :))))))),1
"To all our students around the globe,

WE MISS YOU!! 

Enjoy your summer and we'll see you soon!  :-)",1
@ajleestan I want a follow from @BellaTwins :(,-1
Have a full breakdown of the materials used for Thorin now. :D Time to hunt down the materials and work myself through the project.,1
Happy Bday @EmilyBett! You are awesome. And Thank you for the Amazing Felicity Smoak! :) ❤👓💘,1
@jehyop is there any other way for me to get the bandana?:((,-1
@AahliyahR it's not funny :(,-1
@stumac1974 Urquhart Castle: http://t.co/bSgiJFpICc Find all events here: http://t.co/cCS5QGfkk7 Hope that helps :),1
@fvvxkk that's a damn lie :(,-1
Overly attached. :((((,-1
Any brands wanting me to review BEAUTY products on my blog? mail me at: ladolcevitainluxembourg@hotmail.com #prrequest #journorequest :),1
@msarosh Uff Itna Miss karhy thy ap :p,1
When ur crazy af and u want to hurt urslef by editing stuff lime this and u know this shit aint real :( 😭 http://t.co/5li6OFp24x,-1
"Pure talent!! :( ""@OscarMbo: Always will be a fan of DeepXcape. Brothers are so talented!!! ����""",-1
@SkyHelpTeam I have been a customer for 20 years. My Internet is no why near the speed it should be. It's so so slow :(,-1
"@dbuzzketball if its @dbuzzketball  saying, it must be Chris Ellis :))",1
Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/5EcILL2Mf7.,1
@_irwinstagram I'll give you Liam solo DM for Dylan :(( pls?:(,-1
"@sothcott @realmartinkemp lovely guy, isn't he? :-) ...and he looks like James Bond in @AgeofKill!",1
@gculloty87 @linda_regan @retrodramafans Yeah! She plays the pretty girl at the bus stop :) X,1
@sannastenman yeah but it's a bit risky to count on that :(,-1
@SabrinaKeane it's not a bad thing!!! I think we all have weird faces!!! It's rad :-) thanks though!!,1
I made little @morganflying on Chibi maker :p http://t.co/n0BfUiXLpA,1
@NonEvans got mine done at 7am this morning :-),1
"@iamsrk Lol. That look's like a scary room! Ghost story or murder mystery? Either way, just try it and get done asap :p",1
@SweetieBellaxx Denis has a vagina? Rly?  :D @realdstoff poor thing :D,1
Gooood morninggggg and Jummah Mubarak everyone! Have a blessed and amazing day ahead :),1
i lost my 3.4k :(,-1
@maggiemontalvan I knowwww my runny nose isn't letting me sleep :(,-1
"@mermaid_bl00d haha aw, I miss you too! Haven't seen you for agessss :(((",-1
@karisshackett01 @MarzJackson won't be long for us all :(,-1
@LeanneHirst @3Yorkshireteers oh and our conversation was going so well :-(,-1
@kalle_karvonen you are welcome Kalle :),1
"@calumscool @carterreynolds Stop getting hate on him, of whatever kind it is.He made a mistake, and  he understood it, stop.:)",1
"If you didn't get inspired by the sheer fact that Obama beat innumerable odds to become US President, ni shauri yako :-) #MemoToHaters",1
Poor bb :(,-1
i miss you to death :(( @SMtajanlangit http://t.co/7Hal7PTTAN,-1
this is when we were building our house :) http://t.co/if5yfELOQV,1
@aepfel our pleasure! Let us know if there's anything else you need :),1
@EnjiNight  Nice Enji..... good job    :-),1
@Smileformeacc  *hug* you have many :),1
@TheLadyShelly haha I feel so naked without ole beardy tho :(,-1
@GizmodoUK broken for me :( I really wanted my morning ice cream in the pouring rain... http://t.co/y9waxvQKpg,-1
@OTRJSJ offers you my mixtape. will you talk to me more now : ( suckmejimin.,-1
Thankyou x :)  https://t.co/Y21tv7APVO,1
@DancingSakura Natsuki often writes really catchy songs :D,1
Did your rebound run away already??? POOOOOOOOOR YOU :((((((,-1
Remember that one time I didn't go to flume/kaytranada/alunageorge even though I had tickets? I still want to kms. : ) : ),1
No he is junior 2 me :p https://t.co/V4Jk5HsID1,1
Hi alex : heswifi Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/UaAjJIsNLk,1
My face is so skinny in that picture omg :( why did i get fAt,-1
Thanks for updating your profile page @AlexaPoppe :-)  http://t.co/JK3NSXIRMe,1
What could be more fun than a sexy girl? TWO sexy girls :) 👉 http://t.co/S7kW8WESbs 👈😘 http://t.co/p7EnTlcsum,1
@tracysbakes haha thank you :) 🍰,1
Eugh :( not good weather at all! https://t.co/3NaRSAzIL1,-1
@booogley because you're breaking out of your shell :-),1
no date yet :(  https://t.co/Tu9R2CfSyx,-1
i wanna watch paper tOWNS :-((((,-1
@fluffyGAB aigoo our baby :(,-1
Damn.. I wish I could just sleep :(,-1
"@itsNotMirna so true, I voted for them so many times :( Underrated just like all of Slovakia's entries D:",-1
whens my cat coming :(,-1
@JakeSwope have a nice day at work today and tmrw and after that  :),1
MY snapchat : LynetteLowe #snapchat #kikhorny #interracial #bestoftheday #naked #goodmusic #sexysasunday :( http://t.co/66GRccvHOM,-1
Woke up yo @trentowers fav' my tweet this made my day :))) now just @luketurner89 😂😂 http://t.co/oGw5sVij7G,1
it's been a month tomorrow since luke followed me :(,-1
@OliviaKaparang @BTS_twt for the fansign and take photo is more expensive :(,-1
Ripped my skirt and hurt my back im injured lol :(,-1
Planning a trip to Kuching? Enjoy special room rate only at Merdeka Palace Hotel &amp; Suites with PLUSMiles card! :) http://t.co/KwlZtWSREM,1
"* ✫ ✧ ˚ @Louis_Tomlinson ✧ · ✵ ⊹
Thank you for always putting
a smile on my face
Mind following me? :)
Have a nice day x
1710",1
my throat is so so sore :((,-1
"@Keith_Russell @jayutd1999 @seamus_bannon Seems like people use MEN as the source,so nothing new i guess. Just gossip :)",1
"@camss59 FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",-1
@katjturgoose @artsjobs Link doesn't work! :(,-1
Upside down :D http://t.co/TPwmADzibD,1
@rinpunzel_ what are you promoting?:),1
Agree great advice for all here :)  https://t.co/uKtJ8epz17,1
"@SupportOrganize Hey Lynne, on FB the Buffer button will bring up your composer and you can Buffer an FB share. :)  -Mary",1
i love you :(  http://t.co/1q9EZyGWXI,-1
"1. Taxi Service
2. Second Scheduled Blog Post
3. HOUSEWORK OR BUST :(",-1
@AndrewKantarias *On a serious Note* you should *100%* reply to my DM that I sent you. Haha 😄👍 Cause it actually is kinda serious... :( 😔😓,-1
"@NiaLovelis i miss you :(
pls follow me http://t.co/stdLTH1PBS",-1
Garden update: my trees are gone :( http://t.co/V8OH886Z2Z,-1
alansmithpart2 Follback ya :),1
@Kelyias Oh! Happy to hear about this :) Have a lovely day! ^CL,1
I'm gonna be so inactive next month :(,-1
@cekimmr_23 welcoma.have A nice day :),1
MY snapchat : NoraPowel19 #snapchat #hornykik #teen #booty #photooftheday #music #livesex :) http://t.co/cpnxELviXs,1
Google has made Narendra Modi really very sad about Imran Khan not becoming Prime Minister. :p,1
@KayOddone Kinda smug to know we were doing all that stuff at Marrickville Public over ten years ago :-),1
Until when? :(,-1
@Shewho13 TFW no boyfriend :( (lol I jest) cooking relaxes me. I'm sure I'll eat it for lunch tomorrow.,-1
@arsenalnewsasit You're welcome Neil :). What's the next match in Emirates?,1
@ClearlyArticle :) its 430 am smh,1
"I miss Matt and he's coming home 14 days before I do, so I don't know if he's going to be there when I get back :((",-1
Wake up :( http://t.co/fACJpi5F3p,-1
"#TY! ""@dean0133: #FollowFriday @fredgarden8 @joeodiete1 @WillowRaven for being top influencers in my community this week :)""",1
@leighalexander blood and plague pits :(,-1
Relation full of lies :(,-1
My Alma Mater :) #HighSchoolDays #ClientVisit :) @ Faith Christian School https://t.co/OiWrwoFuY1,1
"I hate Japanese call him ""bani"" :( :(",-1
@naturalsystah It will be updated soon I'm sure. If you sign in you can set up text alerts :) |DA,1
Jk I have lots of people to chat with so ha :-))))),1
"almost 2/3 done with this. Sa lahat ng araw, bakit naging saturday pa finals ko :((",-1
@miss_steele89 @LouMWrites @gr8fllady2 @inMay84 @christian1_ana @zimmie825 @FiftyShadesPA @_emeraldeye_ you too lovely :),1
Full Shaved :(,-1
This kind of feedback truly made our day! A perfect way to end this work week :) http://t.co/B7XBAgmERd,1
havent seen you earlier :(,-1
"Thanks mommy teret for this :) (Y) :) #Potassium #Rehydrate #DrinkitAllup #ThirstQuencher https://t.co/uLORa2tssO",1
"@Saeek Step is good option in that case ... I use that a lot . Stable and sturdy :) 
@Ktens @vindee",1
"As if bank credit departments weren't bad enough, ANZ has gone to the extreme of offshoring theirs!!! Absolutely classic :-)
#gottolovebanks",1
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x21",1
#AskUrban. Ask us any question. :),1
OMG selena tweets while i was busy out :(,-1
Cutest dance ever :((,-1
@laurenecurrann snakes on you??:(,-1
Should have taken a pic before mrs wong confiscated my art work :(,-1
@BeardAintWeird_ Go Hokies! :) Our biz internships will be posted under University Recruiting - Non Tech on the website. I'll DM you info!,1
Best Burger so far!do you agree? :) http://t.co/le5JAkjR4j #retweet #food #burger,1
SNAPCHAT : ShoshannaVassil #snapchat #hornykik #selfie #gay #porn #quote #camsex :( http://t.co/COW9YcUeaA,-1
@nixdeedavid onting tiis lng yan Nikki :) ;) u'll get better anytime soon!,1
@EdeLabayog yup thank you! Huhu mahirap? :(,-1
Lart rt :(,-1
@ReviewResorts @outboundapp thanks for sharing! Enjoy the app! Wishing you a wicked weekend :),1
@soorjugn dare :(,-1
"@rusintez @mafintosh Ok, 19:30 at the Apple store at IFC. Then we'll pick a place to go to :-)",1
"Hi, imiss you :(",-1
The one time I went outside to look at stars and be peaceful I saw a opossum running thru my bushes so that shit ain't for me :-),1
